"Ad name","Ad set name",Day,"Ad delivery",Reach,Impressions,Frequency,"Result Type",Results,"Cost per result","Amount spent (RUB)",Starts,Ends,"CPM (cost per 1,000 impressions)","Link clicks","CPC (cost per link click)","CTR (link click-through rate)","CPC (all)","CTR (all)","Clicks (all)","Ad ID","Campaign ID","Reporting starts","Reporting ends"
2,"[UA]_ July",2019-07-25,not_delivering,596,596,1,"Kundeemner (skjema)",,,133.55,,,224.07718121,6,22.25833333,1.006711409396,14.83888889,1.51006711,9,23843516223010549,23843516223260549,2019-07-25,2019-07-25
3,"[UA]_ July",2019-07-25,not_delivering,590,598,1.0135593220339,"Kundeemner (skjema)",,,189.77,,,317.34113712,2,94.885,0.33444816053512,21.08555556,1.50501672,9,23843516222980549,23843516223260549,2019-07-25,2019-07-25
3,[RU]_July_moscow,2019-07-31,not_delivering,582,595,1.0223367697595,"Kundeemner (skjema)",6,143.465,860.79,,,1446.70588235,13,66.21461538,2.1848739495798,28.693,5.04201681,30,23843516223090549,23843516223260549,2019-07-31,2019-07-31
3,[RU]_July_spb,2019-07-30,not_delivering,562,583,1.0373665480427,"Kundeemner (skjema)",2,281.465,562.93,,,965.57461407,6,93.82166667,1.0291595197256,70.36625,1.37221269,8,23843516223250549,23843516223260549,2019-07-30,2019-07-30
2,[RU]_July_moscow,2019-07-30,not_delivering,419,420,1.0023866348449,"Kundeemner (skjema)",,,183.55,,,437.02380952,4,45.8875,0.95238095238095,26.22142857,1.66666667,7,23843516223130549,23843516223260549,2019-07-30,2019-07-30
3,[RU]_July_moscow,2019-07-30,not_delivering,413,421,1.0193704600484,"Kundeemner (skjema)",3,166.1,498.3,,,1183.61045131,6,83.05,1.4251781472684,35.59285714,3.32541568,14,23843516223090549,23843516223260549,2019-07-30,2019-07-30
2,[RU]_July_moscow,2019-07-31,not_delivering,363,363,1,"Kundeemner (skjema)",1,160.08,160.08,,,440.99173554,5,32.016,1.3774104683196,20.01,2.20385675,8,23843516223130549,23843516223260549,2019-07-31,2019-07-31
3,"[KZ]_ July",2019-07-29,not_delivering,360,361,1.0027777777778,"Kundeemner (skjema)",,,106.36,,,294.62603878,2,53.18,0.55401662049861,15.19428571,1.93905817,7,23843516223020549,23843516223260549,2019-07-29,2019-07-29
4,"[UA]_ July",2019-07-25,not_delivering,348,350,1.0057471264368,"Kundeemner (skjema)",,,107.22,,,306.34285714,,,,35.74,0.85714286,3,23843516223000549,23843516223260549,2019-07-25,2019-07-25
1,[RU]_July_moscow,2019-07-30,not_delivering,348,351,1.0086206896552,"Kundeemner (skjema)",,,305.36,,,869.97150997,2,152.68,0.56980056980057,152.68,0.56980057,2,23843516223080549,23843516223260549,2019-07-30,2019-07-30
4,"[KZ]_ July",2019-07-29,not_delivering,223,223,1,"Kundeemner (skjema)",1,51.19,51.19,,,229.55156951,2,25.595,0.89686098654709,12.7975,1.79372197,4,23843516223040549,23843516223260549,2019-07-29,2019-07-29
1,[RU]_July_spb,2019-07-31,not_delivering,187,189,1.0106951871658,"Kundeemner (skjema)",,,160.55,,,849.47089947,1,160.55,0.52910052910053,160.55,0.52910053,1,23843516223270549,23843516223260549,2019-07-31,2019-07-31
4,[RU]_July_spb,2019-07-30,not_delivering,182,185,1.0164835164835,"Kundeemner (skjema)",,,152.69,,,825.35135135,,,,76.345,1.08108108,2,23843516223230549,23843516223260549,2019-07-30,2019-07-30
1,"[UA]_ July",2019-07-25,not_delivering,162,162,1,"Kundeemner (skjema)",,,53.56,,,330.61728395,,,,,0,0,23843516223150549,23843516223260549,2019-07-25,2019-07-25
