"Ad name","Ad set name",Day,"Ad delivery",Reach,Impressions,Frequency,"Result Type",Results,"Cost per result","Amount spent (RUB)",Starts,Ends,"CPM (cost per 1,000 impressions)","Link clicks","CPC (cost per link click)","CTR (link click-through rate)","CPC (all)","CTR (all)","Clicks (all)","Ad ID","Campaign ID","Reporting starts","Reporting ends"
6,[EN]_18countries,2019-07-19,rejected,3702,3969,1.0721231766613,"Leads (form)",8,223.8675,1790.94,,,451.23204837,29,61.75655172,0.73066263542454,21.84073171,2.06601159,82,23843429940890549,23843429940900549,2019-07-19,2019-07-19
4,[EN]_18countries,2019-07-19,not_delivering,2336,2399,1.0269691780822,"Leads (form)",4,232.195,928.78,,,387.15298041,8,116.0975,0.33347228011672,35.72230769,1.08378491,26,23843429940930549,23843429940900549,2019-07-19,2019-07-19
2,[EN]_18countries,2019-07-19,inactive,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843429940950549,23843429940900549,2019-07-19,2019-07-19
5,[EN]_18countries,2019-07-19,not_delivering,1920,2009,1.0463541666667,"Leads (form)",1,350.9,350.9,,,174.66401195,4,87.725,0.19910403185665,17.545,0.99552016,20,23843429940910549,23843429940900549,2019-07-19,2019-07-19
1,[EN]_18countries,2019-07-18,not_delivering,2619,2850,1.0882016036655,"Leads (form)",3,446.59,1339.77,,,470.09473684,10,133.977,0.35087719298246,39.405,1.19298246,34,23843429940920549,23843429940900549,2019-07-18,2019-07-18
6,[EN]_18countries,2019-07-18,rejected,2053,2149,1.0467608377983,"Leads (form)",3,298.84333333333,896.53,,,417.18473709,9,99.61444444,0.41879944160074,30.91482759,1.34946487,29,23843429940890549,23843429940900549,2019-07-18,2019-07-18
5,[EN]_18countries,2019-07-18,not_delivering,657,695,1.0578386605784,"Leads (form)",1,181.59,181.59,,,261.28057554,3,60.53,0.43165467625899,18.159,1.43884892,10,23843429940910549,23843429940900549,2019-07-18,2019-07-18
3,[EN]_18countries,2019-07-18,inactive,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843429940940549,23843429940900549,2019-07-18,2019-07-18
2,[EN]_18countries,2019-07-18,inactive,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843429940950549,23843429940900549,2019-07-18,2019-07-18
4,[EN]_18countries,2019-07-18,not_delivering,3576,3856,1.0782997762864,"Leads (form)",8,149.5075,1196.06,,,310.18153527,12,99.67166667,0.31120331950207,29.17219512,1.06327801,41,23843429940930549,23843429940900549,2019-07-18,2019-07-18
