"Ad name","Ad set name","Ad delivery",Reach,Impressions,Frequency,"Result Type",Results,"Cost per result","Amount spent (RUB)",Starts,Ends,"CPM (cost per 1,000 impressions)","Link clicks","CPC (cost per link click)","CTR (link click-through rate)","CPC (all)","CTR (all)","Clicks (all)","Ad ID","Campaign ID","Reporting starts","Reporting ends"
4,"[RU]_June — Копия",not_delivering,692,704,1.0173410404624,"Leads (form)",1,412.59,412.59,,,586.06534091,4,103.1475,0.56818181818182,82.518,0.71022727,5,23843472390170549,23843401146580549,2019-07-01,2019-07-31
1,[UA]_June,not_delivering,1365,1481,1.0849816849817,"Leads (form)",3,133.26666666667,399.8,,,269.95273464,16,24.9875,1.0803511141121,13.7862069,1.95813639,29,23843401176450549,23843401146580549,2019-07-01,2019-07-31
1,"[RU]_June — Копия",not_delivering,583,593,1.0171526586621,"Leads (form)",,,383.85,,,647.30185497,2,191.925,0.33726812816189,191.925,0.33726813,2,23843472390020549,23843401146580549,2019-07-01,2019-07-31
1,"[RU]_June — Копия",not_delivering,712,732,1.0280898876404,"Leads (form)",,,382.57,,,522.63661202,2,191.285,0.27322404371585,95.6425,0.54644809,4,23843472390240549,23843401146580549,2019-07-01,2019-07-31
4,"[RU]_June — Копия",not_delivering,652,665,1.0199386503067,"Leads (form)",,,378.05,,,568.4962406,,,,378.05,0.15037594,1,23843472390140549,23843401146580549,2019-07-01,2019-07-31
1,"[RU]_June — Копия",not_delivering,613,621,1.0130505709625,"Leads (form)",,,338.92,,,545.76489533,,,,338.92,0.1610306,1,23843472390230549,23843401146580549,2019-07-01,2019-07-31
4,[UA]_June,not_delivering,1099,1216,1.1064604185623,"Leads (form)",3,105.68,317.04,,,260.72368421,7,45.29142857,0.57565789473684,16.68631579,1.5625,19,23843401176340549,23843401146580549,2019-07-01,2019-07-31
4,"[RU]_June — Копия",not_delivering,611,619,1.013093289689,"Leads (form)",1,271.86,271.86,,,439.19224556,4,67.965,0.64620355411955,45.31,0.96930533,6,23843472390150549,23843401146580549,2019-07-01,2019-07-31
4,[RU]_June,not_delivering,452,465,1.0287610619469,"Leads (form)",,,150.83,,,324.3655914,,,,75.415,0.43010753,2,23843401165720549,23843401146580549,2019-07-01,2019-07-31
1,[RU]_June,not_delivering,264,267,1.0113636363636,"Leads (form)",,,121.89,,,456.51685393,,,,121.89,0.37453184,1,23843401163330549,23843401146580549,2019-07-01,2019-07-31
